datetime,light,twilight,interp,excluded
2011-06-19T01:21:58.000Z,38,0,FALSE,FALSE
2011-06-19T01:23:58.000Z,26,0,FALSE,FALSE
2011-06-19T01:25:58.000Z,18,0,FALSE,FALSE
2011-06-19T01:27:58.000Z,12,0,FALSE,FALSE
2011-06-19T01:29:58.000Z,8,0,FALSE,FALSE
2011-06-19T01:31:58.000Z,5,0,FALSE,FALSE
2011-06-19T01:33:58.000Z,3,0,FALSE,FALSE
2011-06-19T01:34:28.000Z,2.5,2,TRUE,FALSE
2011-06-19T01:35:58.000Z,1,0,FALSE,FALSE
2011-06-19T01:37:58.000Z,0,0,FALSE,FALSE
2011-06-19T09:07:58.000Z,0,0,FALSE,FALSE
2011-06-19T09:09:58.000Z,1,0,FALSE,FALSE
2011-06-19T09:11:58.000Z,2,0,FALSE,FALSE
2011-06-19T09:12:28.000Z,2.5,1,TRUE,FALSE
2011-06-19T09:13:58.000Z,4,0,FALSE,FALSE
2011-06-19T09:15:58.000Z,7,0,FALSE,FALSE
2011-06-19T09:17:58.000Z,10,0,FALSE,FALSE
2011-06-19T09:19:58.000Z,15,0,FALSE,FALSE
2011-06-19T09:21:58.000Z,20,0,FALSE,FALSE
2011-06-19T09:23:58.000Z,30,0,FALSE,FALSE
2011-06-19T09:25:58.000Z,40,0,FALSE,FALSE
2011-06-19T09:27:58.000Z,54,0,FALSE,FALSE
2011-06-19T09:29:58.000Z,64,0,FALSE,FALSE
2011-06-20T01:17:58.000Z,64,0,FALSE,FALSE
2011-06-20T01:19:58.000Z,58,0,FALSE,FALSE
2011-06-20T01:21:58.000Z,42,0,FALSE,FALSE
2011-06-20T01:23:58.000Z,30,0,FALSE,FALSE
2011-06-20T01:25:58.000Z,22,0,FALSE,FALSE
2011-06-20T01:27:58.000Z,15,0,FALSE,FALSE
2011-06-20T01:29:58.000Z,10,0,FALSE,FALSE
2011-06-20T01:31:58.000Z,7,0,FALSE,FALSE
2011-06-20T01:33:58.000Z,4,0,FALSE,FALSE
2011-06-20T01:35:28.000Z,2.5,2,TRUE,FALSE
2011-06-20T01:35:58.000Z,2,0,FALSE,FALSE
2011-06-20T01:37:58.000Z,1,0,FALSE,FALSE
2011-06-20T01:39:58.000Z,0,0,FALSE,FALSE
2011-06-20T09:07:58.000Z,0,0,FALSE,FALSE
2011-06-20T09:09:58.000Z,1,0,FALSE,FALSE
2011-06-20T09:11:28.000Z,2.5,1,TRUE,FALSE
2011-06-20T09:11:58.000Z,3,0,FALSE,FALSE
2011-06-20T09:13:58.000Z,4,0,FALSE,FALSE
2011-06-20T09:15:58.000Z,5,0,FALSE,FALSE
2011-06-20T09:17:58.000Z,6,0,FALSE,FALSE
2011-06-20T09:19:58.000Z,8,0,FALSE,FALSE
2011-06-20T09:21:58.000Z,12,0,FALSE,FALSE
2011-06-20T09:23:58.000Z,17,0,FALSE,FALSE
2011-06-20T09:25:58.000Z,24,0,FALSE,FALSE
2011-06-20T09:27:58.000Z,34,0,FALSE,FALSE
2011-06-20T09:29:58.000Z,48,0,FALSE,FALSE
2011-06-20T09:31:58.000Z,64,0,FALSE,FALSE
2011-06-20T13:21:58.000Z,64,0,FALSE,FALSE
2011-06-20T13:23:58.000Z,58,0,FALSE,FALSE
2011-06-20T13:25:58.000Z,64,0,FALSE,FALSE
2011-06-21T00:15:58.000Z,64,0,FALSE,FALSE
2011-06-21T00:17:58.000Z,22,0,FALSE,FALSE
2011-06-21T00:19:58.000Z,22,0,FALSE,FALSE
2011-06-21T00:21:58.000Z,20,0,FALSE,FALSE
2011-06-21T00:23:58.000Z,18,0,FALSE,FALSE
2011-06-21T00:25:58.000Z,12,0,FALSE,FALSE
2011-06-21T00:27:58.000Z,7,0,FALSE,FALSE
2011-06-21T00:29:58.000Z,4,0,FALSE,FALSE
2011-06-21T00:31:58.000Z,3,0,FALSE,FALSE
2011-06-21T00:33:58.000Z,3,0,FALSE,FALSE
2011-06-21T00:34:58.000Z,2.5,2,TRUE,FALSE
2011-06-21T00:35:58.000Z,2,0,FALSE,FALSE
2011-06-21T00:37:58.000Z,1,0,FALSE,FALSE
2011-06-21T00:39:58.000Z,1,0,FALSE,FALSE
2011-06-21T00:41:58.000Z,0,0,FALSE,FALSE
2011-06-21T00:47:58.000Z,0,0,FALSE,FALSE
2011-06-21T00:48:48.000Z,2.5,1,TRUE,TRUE
2011-06-21T00:49:58.000Z,6,0,FALSE,FALSE
2011-06-21T00:51:58.000Z,10,0,FALSE,FALSE
2011-06-21T00:53:58.000Z,12,0,FALSE,FALSE
2011-06-21T01:01:58.000Z,12,0,FALSE,FALSE
2011-06-21T01:03:33.000Z,2.5,2,TRUE,TRUE
2011-06-21T01:03:58.000Z,0,0,FALSE,FALSE
2011-06-21T02:15:58.000Z,0,0,FALSE,FALSE
2011-06-21T02:16:48.000Z,2.5,1,TRUE,TRUE
2011-06-21T02:17:58.000Z,6,0,FALSE,FALSE
2011-06-21T02:19:58.000Z,8,0,FALSE,FALSE
2011-06-21T02:21:20.500Z,2.5,2,TRUE,TRUE
2011-06-21T02:21:58.000Z,0,0,FALSE,FALSE
2011-06-21T02:22:35.500Z,2.5,1,TRUE,TRUE
2011-06-21T02:23:58.000Z,8,0,FALSE,FALSE
2011-06-21T02:25:58.000Z,10,0,FALSE,FALSE
2011-06-21T02:27:58.000Z,11,0,FALSE,FALSE
2011-06-21T02:29:30.727Z,2.5,2,TRUE,TRUE
2011-06-21T02:29:58.000Z,0,0,FALSE,FALSE
2011-06-21T09:39:57.000Z,0,0,FALSE,FALSE
2011-06-21T09:41:57.000Z,1,0,FALSE,FALSE
2011-06-21T09:43:57.000Z,2,0,FALSE,FALSE
2011-06-21T09:45:57.000Z,2,0,FALSE,FALSE
2011-06-21T09:46:57.000Z,2.5,1,TRUE,FALSE
2011-06-21T09:47:57.000Z,3,0,FALSE,FALSE
2011-06-21T09:49:57.000Z,4,0,FALSE,FALSE
2011-06-21T09:51:57.000Z,5,0,FALSE,FALSE
2011-06-21T09:53:57.000Z,6,0,FALSE,FALSE
2011-06-21T09:55:57.000Z,8,0,FALSE,FALSE
2011-06-21T09:57:57.000Z,9,0,FALSE,FALSE
2011-06-21T09:59:57.000Z,10,0,FALSE,FALSE
2011-06-21T10:01:57.000Z,12,0,FALSE,FALSE
2011-06-21T10:03:57.000Z,13,0,FALSE,FALSE
2011-06-21T10:05:57.000Z,15,0,FALSE,FALSE
2011-06-21T10:07:57.000Z,17,0,FALSE,FALSE
2011-06-21T10:09:57.000Z,19,0,FALSE,FALSE
2011-06-21T10:11:57.000Z,20,0,FALSE,FALSE
2011-06-21T10:13:57.000Z,20,0,FALSE,FALSE
2011-06-21T10:15:57.000Z,22,0,FALSE,FALSE
2011-06-21T10:17:57.000Z,24,0,FALSE,FALSE
2011-06-21T10:19:57.000Z,64,0,FALSE,FALSE
2011-06-21T10:21:57.000Z,28,0,FALSE,FALSE
2011-06-21T10:23:57.000Z,30,0,FALSE,FALSE
2011-06-21T10:25:57.000Z,34,0,FALSE,FALSE
2011-06-21T10:27:57.000Z,38,0,FALSE,FALSE
2011-06-21T10:29:57.000Z,42,0,FALSE,FALSE
2011-06-21T10:31:57.000Z,40,0,FALSE,FALSE
2011-06-21T10:33:57.000Z,42,0,FALSE,FALSE
2011-06-21T10:35:57.000Z,54,0,FALSE,FALSE
2011-06-21T10:37:57.000Z,64,0,FALSE,FALSE
2011-06-21T13:05:57.000Z,64,0,FALSE,FALSE
2011-06-21T13:07:57.000Z,15,0,FALSE,FALSE
2011-06-21T13:11:57.000Z,15,0,FALSE,FALSE
2011-06-21T13:13:57.000Z,11,0,FALSE,FALSE
2011-06-21T13:15:57.000Z,14,0,FALSE,FALSE
2011-06-21T13:17:57.000Z,22,0,FALSE,FALSE
2011-06-21T13:19:57.000Z,46,0,FALSE,FALSE
2011-06-21T13:21:57.000Z,26,0,FALSE,FALSE
2011-06-21T13:23:57.000Z,64,0,FALSE,FALSE
2011-06-21T13:31:57.000Z,64,0,FALSE,FALSE
2011-06-21T13:33:57.000Z,42,0,FALSE,FALSE
2011-06-21T13:35:57.000Z,40,0,FALSE,FALSE
2011-06-21T13:37:57.000Z,64,0,FALSE,FALSE
2011-06-21T13:39:57.000Z,46,0,FALSE,FALSE
2011-06-21T13:41:57.000Z,52,0,FALSE,FALSE
2011-06-21T13:43:57.000Z,50,0,FALSE,FALSE
2011-06-21T13:45:57.000Z,50,0,FALSE,FALSE
2011-06-21T13:47:57.000Z,52,0,FALSE,FALSE
2011-06-21T13:49:57.000Z,54,0,FALSE,FALSE
2011-06-21T13:51:57.000Z,52,0,FALSE,FALSE
2011-06-21T13:53:57.000Z,58,0,FALSE,FALSE
2011-06-21T13:55:57.000Z,64,0,FALSE,FALSE
2011-06-21T13:59:57.000Z,64,0,FALSE,FALSE
2011-06-21T14:01:57.000Z,58,0,FALSE,FALSE
2011-06-21T14:03:57.000Z,60,0,FALSE,FALSE
2011-06-21T14:05:57.000Z,64,0,FALSE,FALSE
2011-06-21T14:11:57.000Z,64,0,FALSE,FALSE
2011-06-21T14:13:57.000Z,60,0,FALSE,FALSE
2011-06-21T14:15:57.000Z,58,0,FALSE,FALSE
2011-06-21T14:17:57.000Z,64,0,FALSE,FALSE
2011-06-21T14:19:57.000Z,64,0,FALSE,FALSE
2011-06-21T14:21:57.000Z,52,0,FALSE,FALSE
2011-06-21T14:25:57.000Z,52,0,FALSE,FALSE
2011-06-21T14:27:57.000Z,50,0,FALSE,FALSE
2011-06-21T14:29:57.000Z,46,0,FALSE,FALSE
2011-06-21T14:33:57.000Z,46,0,FALSE,FALSE
2011-06-21T14:35:57.000Z,50,0,FALSE,FALSE
2011-06-21T14:37:57.000Z,50,0,FALSE,FALSE
2011-06-21T14:39:57.000Z,48,0,FALSE,FALSE
2011-06-21T14:41:57.000Z,38,0,FALSE,FALSE
2011-06-21T14:43:57.000Z,36,0,FALSE,FALSE
2011-06-21T14:45:57.000Z,36,0,FALSE,FALSE
2011-06-21T14:47:57.000Z,40,0,FALSE,FALSE
2011-06-21T14:49:57.000Z,42,0,FALSE,FALSE
2011-06-21T14:51:57.000Z,40,0,FALSE,FALSE
2011-06-21T14:53:57.000Z,38,0,FALSE,FALSE
2011-06-21T14:55:57.000Z,36,0,FALSE,FALSE
2011-06-21T14:57:57.000Z,40,0,FALSE,FALSE
2011-06-21T14:59:57.000Z,40,0,FALSE,FALSE
2011-06-21T15:01:57.000Z,42,0,FALSE,FALSE
2011-06-21T15:03:57.000Z,50,0,FALSE,FALSE
2011-06-21T15:05:57.000Z,64,0,FALSE,FALSE
2011-06-22T00:09:57.000Z,64,0,FALSE,FALSE
2011-06-22T00:11:57.000Z,58,0,FALSE,FALSE
2011-06-22T00:13:57.000Z,54,0,FALSE,FALSE
2011-06-22T00:15:57.000Z,52,0,FALSE,FALSE
2011-06-22T00:17:57.000Z,48,0,FALSE,FALSE
2011-06-22T00:19:57.000Z,46,0,FALSE,FALSE
2011-06-22T00:21:57.000Z,42,0,FALSE,FALSE
2011-06-22T00:23:57.000Z,38,0,FALSE,FALSE
2011-06-22T00:25:57.000Z,34,0,FALSE,FALSE
2011-06-22T00:27:57.000Z,30,0,FALSE,FALSE
2011-06-22T00:29:57.000Z,26,0,FALSE,FALSE
2011-06-22T00:31:57.000Z,22,0,FALSE,FALSE
2011-06-22T00:33:57.000Z,19,0,FALSE,FALSE
2011-06-22T00:35:57.000Z,64,0,FALSE,FALSE
2011-06-22T00:51:57.000Z,64,0,FALSE,FALSE
2011-06-22T00:53:57.000Z,3,0,FALSE,FALSE
2011-06-22T00:55:57.000Z,3,0,FALSE,FALSE
2011-06-22T00:56:57.000Z,2.5,2,TRUE,FALSE
2011-06-22T00:57:57.000Z,2,0,FALSE,FALSE
2011-06-22T00:59:57.000Z,2,0,FALSE,FALSE
2011-06-22T01:01:57.000Z,1,0,FALSE,FALSE
2011-06-22T01:03:57.000Z,0,0,FALSE,FALSE
2011-06-22T10:07:57.000Z,0,0,FALSE,FALSE
2011-06-22T10:09:57.000Z,1,0,FALSE,FALSE
2011-06-22T10:13:57.000Z,1,0,FALSE,FALSE
2011-06-22T10:15:57.000Z,2,0,FALSE,FALSE
2011-06-22T10:17:57.000Z,2,0,FALSE,FALSE
2011-06-22T10:18:57.000Z,2.5,1,TRUE,FALSE
2011-06-22T10:19:57.000Z,3,0,FALSE,FALSE
2011-06-22T10:25:57.000Z,3,0,FALSE,FALSE
2011-06-22T10:27:57.000Z,4,0,FALSE,FALSE
2011-06-22T10:29:57.000Z,4,0,FALSE,FALSE
2011-06-22T10:31:57.000Z,5,0,FALSE,FALSE
2011-06-22T10:33:57.000Z,6,0,FALSE,FALSE
2011-06-22T10:35:57.000Z,64,0,FALSE,FALSE
2011-06-22T10:37:57.000Z,7,0,FALSE,FALSE
2011-06-22T10:39:57.000Z,8,0,FALSE,FALSE
2011-06-22T10:41:57.000Z,9,0,FALSE,FALSE
2011-06-22T10:43:57.000Z,16,0,FALSE,FALSE
2011-06-22T10:45:57.000Z,20,0,FALSE,FALSE
2011-06-22T10:47:57.000Z,22,0,FALSE,FALSE
2011-06-22T10:49:57.000Z,28,0,FALSE,FALSE
2011-06-22T10:51:57.000Z,32,0,FALSE,FALSE
2011-06-22T10:53:57.000Z,28,0,FALSE,FALSE
2011-06-22T10:55:57.000Z,32,0,FALSE,FALSE
2011-06-22T10:57:57.000Z,40,0,FALSE,FALSE
2011-06-22T11:01:57.000Z,40,0,FALSE,FALSE
2011-06-22T11:03:57.000Z,38,0,FALSE,FALSE
2011-06-22T11:05:57.000Z,40,0,FALSE,FALSE
2011-06-22T11:07:57.000Z,42,0,FALSE,FALSE
2011-06-22T11:09:57.000Z,46,0,FALSE,FALSE
2011-06-22T11:11:57.000Z,50,0,FALSE,FALSE
2011-06-22T11:13:57.000Z,60,0,FALSE,FALSE
2011-06-22T11:15:57.000Z,60,0,FALSE,FALSE
2011-06-22T11:17:57.000Z,46,0,FALSE,FALSE
2011-06-22T11:19:57.000Z,40,0,FALSE,FALSE
2011-06-22T11:21:57.000Z,34,0,FALSE,FALSE
2011-06-22T11:23:57.000Z,42,0,FALSE,FALSE
2011-06-22T11:25:57.000Z,44,0,FALSE,FALSE
2011-06-22T11:27:57.000Z,44,0,FALSE,FALSE
2011-06-22T11:29:57.000Z,36,0,FALSE,FALSE
2011-06-22T11:31:57.000Z,36,0,FALSE,FALSE
2011-06-22T11:33:57.000Z,34,0,FALSE,FALSE
2011-06-22T11:35:57.000Z,40,0,FALSE,FALSE
2011-06-22T11:37:57.000Z,46,0,FALSE,FALSE
2011-06-22T11:39:57.000Z,48,0,FALSE,FALSE
2011-06-22T11:41:57.000Z,50,0,FALSE,FALSE
2011-06-22T11:43:57.000Z,52,0,FALSE,FALSE
2011-06-22T11:45:57.000Z,54,0,FALSE,FALSE
2011-06-22T11:47:57.000Z,64,0,FALSE,FALSE
2011-06-22T11:51:57.000Z,64,0,FALSE,FALSE
2011-06-22T11:53:57.000Z,46,0,FALSE,FALSE
2011-06-22T11:55:57.000Z,42,0,FALSE,FALSE
2011-06-22T11:57:57.000Z,48,0,FALSE,FALSE
2011-06-22T11:59:57.000Z,58,0,FALSE,FALSE
2011-06-22T12:01:57.000Z,64,0,FALSE,FALSE
2011-06-23T00:11:57.000Z,64,0,FALSE,FALSE
2011-06-23T00:13:57.000Z,60,0,FALSE,FALSE
2011-06-23T00:15:57.000Z,58,0,FALSE,FALSE
2011-06-23T00:17:57.000Z,52,0,FALSE,FALSE
2011-06-23T00:19:57.000Z,44,0,FALSE,FALSE
2011-06-23T00:21:57.000Z,40,0,FALSE,FALSE
2011-06-23T00:23:57.000Z,34,0,FALSE,FALSE
2011-06-23T00:25:57.000Z,30,0,FALSE,FALSE
2011-06-23T00:27:57.000Z,28,0,FALSE,FALSE
2011-06-23T00:29:57.000Z,24,0,FALSE,FALSE
2011-06-23T00:31:57.000Z,22,0,FALSE,FALSE
2011-06-23T00:33:57.000Z,20,0,FALSE,FALSE
2011-06-23T00:35:57.000Z,18,0,FALSE,FALSE
2011-06-23T00:37:57.000Z,16,0,FALSE,FALSE
2011-06-23T00:39:57.000Z,14,0,FALSE,FALSE
2011-06-23T00:41:57.000Z,12,0,FALSE,FALSE
2011-06-23T00:43:57.000Z,11,0,FALSE,FALSE
2011-06-23T00:45:57.000Z,10,0,FALSE,FALSE
2011-06-23T00:47:57.000Z,9,0,FALSE,FALSE
2011-06-23T00:49:57.000Z,8,0,FALSE,FALSE
2011-06-23T00:51:57.000Z,7,0,FALSE,FALSE
2011-06-23T00:53:57.000Z,6,0,FALSE,FALSE
2011-06-23T00:55:57.000Z,5,0,FALSE,FALSE
2011-06-23T00:57:57.000Z,4,0,FALSE,FALSE
2011-06-23T00:59:57.000Z,3,0,FALSE,FALSE
2011-06-23T01:01:57.000Z,3,0,FALSE,FALSE
2011-06-23T01:02:57.000Z,2.5,2,TRUE,FALSE
2011-06-23T01:03:57.000Z,2,0,FALSE,FALSE
2011-06-23T01:05:57.000Z,1,0,FALSE,FALSE
2011-06-23T01:07:57.000Z,1,0,FALSE,FALSE
2011-06-23T01:09:57.000Z,0,0,FALSE,FALSE
