tFirst,tSecond,type
2013-07-05 02:37:51,2013-07-05 21:17:23,1
2013-07-05 21:17:23,2013-07-06 02:15:04,2
2013-07-06 02:15:04,2013-07-06 21:15:16,1
2013-07-06 21:15:16,2013-07-07 02:15:02,2
2013-07-07 02:15:02,2013-07-07 21:15:16,1
2013-07-07 21:15:16,2013-07-08 02:23:50,2
2013-07-08 02:23:50,2013-07-08 21:10:09,1
2013-07-08 21:10:09,2013-07-09 02:33:25,2
2013-07-09 02:33:25,2013-07-09 21:05:50,1
2013-07-09 21:05:50,2013-07-10 02:20:04,2
2013-07-10 02:20:04,2013-07-10 20:45:11,1
2013-07-10 20:45:11,2013-07-11 02:45:01,2
2013-07-11 02:45:01,2013-07-11 20:47:22,1
2013-07-11 20:47:22,2013-07-12 02:48:49,2
2013-07-12 02:48:49,2013-07-12 20:38:27,1
2013-07-12 20:38:27,2013-07-13 02:42:49,2
2013-07-13 02:42:49,2013-07-13 20:40:10,1
2013-07-13 20:40:10,2013-07-14 02:57:06,2
2013-07-14 02:57:06,2013-07-14 20:50:08,1
2013-07-14 20:50:08,2013-07-15 02:43:49,2
2013-07-15 02:43:49,2013-07-15 20:57:22,1
2013-07-15 20:57:22,2013-07-16 02:42:49,2
2013-07-16 02:42:49,2013-07-16 20:55:48,1
2013-07-16 20:55:48,2013-07-17 02:35:00,2
2013-07-17 02:35:00,2013-07-17 21:05:14,1
2013-07-17 21:05:14,2013-07-18 02:43:11,2
2013-07-18 02:43:11,2013-07-18 21:05:14,1
2013-07-18 21:05:14,2013-07-19 02:37:48,2
2013-07-19 02:37:48,2013-07-19 20:40:07,1
2013-07-19 20:40:07,2013-07-20 02:57:48,2
2013-07-20 02:57:48,2013-07-20 20:57:21,1
2013-07-20 20:57:21,2013-07-21 02:35:00,2
2013-07-21 02:35:00,2013-07-21 20:55:14,1
2013-07-21 20:55:14,2013-07-22 02:30:00,2
2013-07-22 02:30:00,2013-07-22 20:55:08,1
2013-07-22 20:55:08,2013-07-23 02:53:47,2
2013-07-23 02:53:47,2013-07-23 20:42:20,1
2013-07-23 20:42:20,2013-07-24 03:03:10,2
2013-07-24 03:03:10,2013-07-24 20:41:20,1
2013-07-24 20:41:20,2013-07-25 02:48:47,2
2013-07-25 02:48:47,2013-07-25 20:28:25,1
2013-07-25 20:28:25,2013-07-26 02:42:47,2
2013-07-26 02:42:47,2013-07-26 20:32:20,1
2013-07-26 20:32:20,2013-07-27 03:07:47,2
2013-07-27 03:07:47,2013-07-27 20:32:20,1
2013-07-27 20:32:20,2013-07-28 02:59:53,2
2013-07-28 02:59:53,2013-07-28 20:36:44,1
2013-07-28 20:36:44,2013-07-29 02:54:58,2
2013-07-29 02:54:58,2013-07-29 20:40:07,1
2013-07-29 20:40:07,2013-07-30 03:07:03,2
2013-07-30 03:07:03,2013-07-30 20:16:19,1
2013-07-30 20:16:19,2013-07-31 03:00:00,2
2013-07-31 03:00:00,2013-07-31 20:01:56,1
2013-07-31 20:01:56,2013-08-01 03:23:46,2
2013-08-01 03:23:46,2013-08-01 20:10:07,1
2013-08-01 20:10:07,2013-08-02 02:54:58,2
2013-08-02 02:54:58,2013-08-02 20:00:06,1
2013-08-02 20:00:06,2013-08-03 03:14:52,2
2013-08-03 03:14:52,2013-08-03 20:20:11,1
2013-08-03 20:20:11,2013-08-04 02:59:52,2
2013-08-04 02:59:52,2013-08-04 20:16:18,1
2013-08-04 20:16:18,2013-08-05 03:12:45,2
2013-08-05 03:12:45,2013-08-05 20:10:11,1
2013-08-05 20:10:11,2013-08-06 03:34:59,2
2013-08-06 03:34:59,2013-08-06 20:11:18,1
2013-08-06 20:11:18,2013-08-07 03:14:57,2
2013-08-07 03:14:57,2013-08-07 19:51:18,1
2013-08-07 19:51:18,2013-08-08 03:39:18,2
2013-08-08 03:39:18,2013-08-08 20:01:10,1
2013-08-08 20:01:10,2013-08-09 03:23:33,2
2013-08-09 03:23:33,2013-08-09 19:55:10,1
2013-08-09 19:55:10,2013-08-10 03:32:01,2
2013-08-10 03:32:01,2013-08-10 19:58:00,1
2013-08-10 19:58:00,2013-08-11 03:37:44,2
2013-08-11 03:37:44,2013-08-11 20:05:05,1
2013-08-11 20:05:05,2013-08-12 03:34:58,2
2013-08-12 03:34:58,2013-08-12 19:53:00,1
2013-08-12 19:53:00,2013-08-13 03:34:58,2
2013-08-13 03:34:58,2013-08-13 19:56:54,1
2013-08-13 19:56:54,2013-08-14 03:44:57,2
2013-08-14 03:44:57,2013-08-14 20:00:02,1
2013-08-14 20:00:02,2013-08-15 03:29:50,2
2013-08-15 03:29:50,2013-08-15 19:46:27,1
