tFirst,tSecond,type
2011-08-04 09:50:41,2011-08-05 00:36:56,1
2011-08-05 00:36:56,2011-08-05 09:49:10,2
2011-08-05 09:49:10,2011-08-06 00:33:10,1
2011-08-06 00:33:10,2011-08-06 09:55:10,2
2011-08-06 09:55:10,2011-08-07 00:30:10,1
2011-08-07 00:30:10,2011-08-07 09:55:10,2
2011-08-07 09:55:10,2011-08-08 00:31:24,1
2011-08-08 00:31:24,2011-08-08 09:55:09,2
2011-08-08 09:55:09,2011-08-09 00:30:09,1
2011-08-09 00:30:09,2011-08-09 09:54:39,2
2011-08-09 09:54:39,2011-08-10 00:32:09,1
2011-08-10 00:32:09,2011-08-10 09:58:09,2
2011-08-10 09:58:09,2011-08-11 00:29:58,1
2011-08-11 00:29:58,2011-08-11 09:54:38,2
2011-08-11 09:54:38,2011-08-12 00:27:58,1
2011-08-12 00:27:58,2011-08-12 10:01:08,2
2011-08-12 10:01:08,2011-08-13 00:27:08,1
2011-08-13 00:27:08,2011-08-13 09:59:57,2
2011-08-13 09:59:57,2011-08-14 00:21:27,1
2011-08-14 00:21:27,2011-08-14 10:05:07,2
2011-08-14 10:05:07,2011-08-15 00:21:17,1
2011-08-15 00:21:17,2011-08-15 10:01:07,2
2011-08-15 10:01:07,2011-08-16 00:22:36,1
2011-08-16 00:22:36,2011-08-16 10:02:06,2
2011-08-16 10:02:06,2011-08-17 00:23:16,1
2011-08-17 00:23:16,2011-08-17 10:01:51,2
2011-08-17 10:01:51,2011-08-18 00:24:06,1
2011-08-18 00:24:06,2011-08-18 10:00:06,2
2011-08-18 10:00:06,2011-08-19 00:20:05,1
2011-08-19 00:20:05,2011-08-19 10:04:05,2
2011-08-19 10:04:05,2011-08-20 00:13:55,1
2011-08-20 00:13:55,2011-08-20 10:06:35,2
2011-08-20 10:06:35,2011-08-21 00:17:15,1
2011-08-21 00:17:15,2011-08-21 10:07:04,2
2011-08-21 10:07:04,2011-08-22 00:05:14,1
2011-08-22 00:05:14,2011-08-22 10:11:49,2
2011-08-22 10:11:49,2011-08-23 00:15:04,1
2011-08-23 00:15:04,2011-08-23 10:13:04,2
2011-08-23 10:13:04,2011-08-24 00:09:03,1
2011-08-24 00:09:03,2011-08-24 10:06:33,2
2011-08-24 10:06:33,2011-08-25 00:13:13,1
2011-08-25 00:13:13,2011-08-25 10:09:03,2
2011-08-25 10:09:03,2011-08-26 00:10:03,1
2011-08-26 00:10:03,2011-08-26 10:10:03,2
2011-08-26 10:10:03,2011-08-26 23:56:02,1
2011-08-26 23:56:02,2011-08-27 10:36:32,2
2011-08-27 10:36:32,2011-08-27 23:47:12,1
2011-08-27 23:47:12,2011-08-28 10:17:02,2
2011-08-28 10:17:02,2011-08-29 00:06:32,1
2011-08-29 00:06:32,2011-08-29 10:11:51,2
2011-08-29 10:11:51,2011-08-29 23:53:51,1
2011-08-29 23:53:51,2011-08-30 10:19:51,2
2011-08-30 10:19:51,2011-08-31 00:03:19,1
2011-08-31 00:03:19,2011-08-31 10:13:01,2
2011-08-31 10:13:01,2011-09-01 00:04:30,1
2011-09-01 00:04:30,2011-09-01 10:13:50,2
2011-09-01 10:13:50,2011-09-02 00:02:00,1
2011-09-02 00:02:00,2011-09-02 10:14:00,2
2011-09-02 10:14:00,2011-09-02 23:54:00,1
2011-09-02 23:54:00,2011-09-03 10:16:29,2
2011-09-03 10:16:29,2011-09-03 23:55:59,1
2011-09-03 23:55:59,2011-09-04 10:15:09,2
2011-09-04 10:15:09,2011-09-04 23:55:59,1
2011-09-04 23:55:59,2011-09-05 10:17:39,2
2011-09-05 10:17:39,2011-09-05 23:50:59,1
2011-09-05 23:50:59,2011-09-06 10:19:08,2
2011-09-06 10:19:08,2011-09-06 23:51:58,1
2011-09-06 23:51:58,2011-09-07 10:17:48,2
2011-09-07 10:17:48,2011-09-07 23:51:58,1
2011-09-07 23:51:58,2011-09-08 10:24:28,2
2011-09-08 10:24:28,2011-09-08 23:50:12,1
2011-09-08 23:50:12,2011-09-09 10:18:57,2
2011-09-09 10:18:57,2011-09-09 23:47:57,1
2011-09-09 23:47:57,2011-09-10 10:19:07,2
2011-09-10 10:19:07,2011-09-10 23:47:57,1
2011-09-10 23:47:57,2011-09-11 10:20:56,2
2011-09-11 10:20:56,2011-09-11 23:44:26,1
2011-09-11 23:44:26,2011-09-12 10:25:56,2
2011-09-12 10:25:56,2011-09-12 23:44:26,1
2011-09-12 23:44:26,2011-09-13 10:24:08,2
2011-09-13 10:24:08,2011-09-13 23:42:50,1
2011-09-13 23:42:50,2011-09-14 10:25:40,2
2011-09-14 10:25:40,2011-09-14 23:39:55,1
2011-09-14 23:39:55,2011-09-15 10:27:45,2
2011-09-15 10:27:45,2011-09-15 23:38:25,1
2011-09-15 23:38:25,2011-09-16 10:31:45,2
2011-09-16 10:31:45,2011-09-16 23:27:54,1
2011-09-16 23:27:54,2011-09-17 10:32:24,2
2011-09-17 10:32:24,2011-09-17 23:27:54,1
2011-09-17 23:27:54,2011-09-18 10:32:24,2
2011-09-18 10:32:24,2011-09-18 23:30:24,1
2011-09-18 23:30:24,2011-09-19 10:29:33,2
2011-09-19 10:29:33,2011-09-19 23:29:53,1
2011-09-19 23:29:53,2011-09-20 10:31:33,2
2011-09-20 10:31:33,2011-09-20 23:26:23,1
2011-09-20 23:26:23,2011-09-21 10:33:53,2
2011-09-21 10:33:53,2011-09-21 23:30:22,1
